dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
0.0,320.3,-1.19,46.15,20.0,20,osm,48.83336,12.96204
0.025,320.1,-1.18,36.54,20.0,20,stvo,48.83322,12.96191
0.05,319.7,-1.15,29.28,20.0,20,osm,48.833,12.96192
0.075,319.4,-1.12,37.87,20.0,20,osm,48.83277,12.96193
0.1,319.1,-1.08,66.14,20.0,20,osm,48.83255,12.96195
0.125,318.8,-1.12,69.93,20.0,20,osm,48.83232,12.96197
0.15,318.6,-1.15,72.8,20.0,20,osm,48.83213,12.96193
0.175,318.3,-1.17,81.06,20.0,20,osm,48.83208,12.9616
0.2,318.0,-1.17,74.72,20.0,20,osm,48.83201,12.96128
0.225,317.8,-1.17,19.0,20.0,20,osm,48.83192,12.96096
0.25,317.6,-1.15,15.31,20.0,20,osm,48.8318,12.96068
0.275,317.3,-1.13,11.15,30.0,30,osm,48.83167,12.9604
0.3,316.9,-1.09,3.64,30.0,30,osm,48.83153,12.96013
0.325,316.5,-1.04,1.56,30.0,30,osm,48.8314,12.95985
0.35,316.2,-0.99,6.11,30.0,30,osm,48.83126,12.95958
0.375,315.9,-0.93,66.44,30.0,30,osm,48.83113,12.95931
0.4,315.7,-0.87,75.63,30.0,30,osm,48.83099,12.95904
0.425,315.4,-0.73,79.65,30.0,30,osm,48.83088,12.95877
0.45,315.3,-0.59,85.68,40.2,50,osm,48.83104,12.95853
0.475,315.2,-0.45,101.99,40.0,50,osm,48.83122,12.95834
0.5,315.1,-0.33,43.47,48.1,50,osm,48.83142,12.95818
0.525,315.0,-0.23,37.54,50.0,50,osm,48.83163,12.95806
0.55,315.0,-0.14,34.36,50.0,50,osm,48.83186,12.95809
0.575,315.1,-0.06,28.51,50.0,50,osm,48.83208,12.95811
0.6,315.1,0.0,11.03,50.0,50,osm,48.8323,12.95811
0.625,315.2,0.05,13.89,50.0,50,osm,48.83253,12.95809
0.65,315.2,0.06,10.72,50.0,50,osm,48.83275,12.95807
0.675,315.3,0.06,11.86,50.0,50,osm,48.83298,12.95808
0.7,315.3,0.04,12.0,50.0,50,osm,48.8332,12.95812
0.725,315.3,0.0,56.7,50.0,50,osm,48.83342,12.95816
0.75,315.3,-0.05,70.76,48.0,50,osm,48.83364,12.95823
0.775,315.3,-0.11,84.49,44.0,50,osm,48.83386,12.9583
0.8,315.3,-0.16,90.16,42.6,50,osm,48.83397,12.95811
0.825,315.2,-0.2,94.54,41.6,50,osm,48.83404,12.95778
0.85,315.2,-0.25,47.6,49.4,50,osm,48.83417,12.9575
0.875,315.1,-0.29,28.71,50.0,50,osm,48.83433,12.95727
0.9,315.0,-0.33,16.94,50.0,50,osm,48.83451,12.95706
0.925,314.9,-0.36,8.81,50.0,50,osm,48.83469,12.95685
0.95,314.8,-0.39,46.49,50.0,50,osm,48.83487,12.95665
0.975,314.6,-0.4,63.81,50.0,50,osm,48.83504,12.95643
1.0,314.5,-0.4,63.81,50.0,50,osm,48.83522,12.95622
1.025,314.4,-0.37,61.51,50.0,50,osm,48.83539,12.95628
